"지역","zero_9","ten_19","twenty_29","thirty_39","forty_49","fifty_59","sixty_100"
"대전광역시 동구",14943,19971,30220,25851,34027,36513,61944
"대전광역시 동구 중앙동",107,146,368,381,502,940,2299
"대전광역시 동구 효동",2518,3341,2584,2872,4862,3546,5193
"대전광역시 동구 신인동",876,888,1356,1583,1775,1958,3720
"대전광역시 동구 판암1동",762,961,1480,1463,1705,2163,3842
"대전광역시 동구 판암2동",255,378,776,739,995,1528,3980
"대전광역시 동구 용운동",1657,1837,3336,2911,3267,3521,5045
"대전광역시 동구 대동",1383,1375,1767,1985,2318,2377,3709
"대전광역시 동구 자양동",370,875,2678,1048,1227,1545,2827
"대전광역시 동구 가양1동",793,1110,1968,1413,2039,2325,4176
"대전광역시 동구 가양2동",943,1772,2891,1882,2701,3281,4834
"대전광역시 동구 용전동",1081,1494,3934,3013,3136,3313,4576
"대전광역시 동구 성남동",883,932,1348,1498,1769,2086,3693
"대전광역시 동구 홍도동",580,789,1928,1274,1553,1842,2954
"대전광역시 동구 삼성동",780,1256,1540,1397,2154,2539,4709
"대전광역시 동구 대청동",66,140,204,158,255,458,1193
"대전광역시 동구 산내동",1889,2677,2062,2234,3769,3091,5194
"대전광역시 중구",14722,21695,30652,25704,36309,39189,65330
"대전광역시 중구 은행선화동",870,1018,2817,2345,2469,2615,3821
"대전광역시 중구 목동",1479,2436,1596,1499,3256,2079,2248
"대전광역시 중구 중촌동",690,1209,1566,1342,2059,2344,3959
"대전광역시 중구 대흥동",895,1122,2431,1940,2140,1994,3442
"대전광역시 중구 문창동",174,297,481,456,598,831,1877
"대전광역시 중구 석교동",697,1129,1813,1605,2067,2808,5731
"대전광역시 중구 대사동",163,255,1054,617,606,907,1924
"대전광역시 중구 부사동",295,441,777,641,873,1221,2413
"대전광역시 중구 용두동",502,728,1781,1250,1368,1471,2433
"대전광역시 중구 오류동",616,782,1462,1289,1453,1733,3074
"대전광역시 중구 태평1동",1148,1629,1476,1524,2427,2211,3079
"대전광역시 중구 태평2동",1919,3097,3053,2354,4383,4456,6908
"대전광역시 중구 유천1동",335,355,884,890,961,1137,2099
"대전광역시 중구 유천2동",903,961,1786,1608,1899,2224,4404
"대전광역시 중구 문화1동",1900,2846,2866,2389,3951,3528,5182
"대전광역시 중구 문화2동",624,1087,1530,1263,1849,2394,4042
"대전광역시 중구 산성동",1512,2303,3279,2692,3950,5236,8694
"대전광역시 서구",37336,49026,73642,65406,77632,77080,95563
"대전광역시 서구 복수동",2122,3026,2827,2641,4287,3545,4268
"대전광역시 서구 도마1동",707,1010,2478,1594,1796,2631,4963
"대전광역시 서구 도마2동",841,1400,2467,1827,2390,2982,5548
"대전광역시 서구 정림동",1094,1452,2035,1761,2301,3111,4692
"대전광역시 서구 변동",975,1211,2168,2004,2271,2909,4642
"대전광역시 서구 용문동",617,612,2470,2162,1720,1757,3089
"대전광역시 서구 탄방동",1690,2411,5453,4620,4478,4345,4443
"대전광역시 서구 괴정동",1192,1276,4549,3565,2811,2516,3332
"대전광역시 서구 가장동",834,1116,1644,1473,1864,1964,3260
"대전광역시 서구 내동",1892,2665,3171,2718,4023,3929,5538
"대전광역시 서구 갈마1동",1127,1656,4205,3437,3104,3402,4665
"대전광역시 서구 갈마2동",1442,2040,5645,4156,3784,4049,3956
"대전광역시 서구 월평1동",373,559,2838,1868,1524,1910,2137
"대전광역시 서구 월평2동",774,1299,1879,1533,1937,2846,4723
"대전광역시 서구 월평3동",1789,2703,2757,2634,3395,3929,4398
"대전광역시 서구 가수원동",5334,4750,5028,6600,7789,5705,6331
"대전광역시 서구 관저1동",1288,1614,2772,2066,2375,2788,2895
"대전광역시 서구 관저2동",6209,6134,6804,8071,9481,7534,6300
"대전광역시 서구 기성동",98,163,299,267,402,704,1848
"대전광역시 서구 둔산1동",1639,3389,1637,1407,4015,2437,2594
"대전광역시 서구 둔산2동",3159,4300,5502,5357,6352,6285,5365
"대전광역시 서구 만년동",956,1319,2372,1945,2120,2235,1965
"대전광역시 서구 둔산3동",1184,2921,2642,1700,3413,3567,4611
"대전광역시 유성구",34261,37931,52588,55473,60212,53950,55721
"대전광역시 유성구 진잠동",3220,3344,4394,4406,5919,6195,7426
"대전광역시 유성구 온천1동",1542,1499,8363,6797,4395,5481,6843
"대전광역시 유성구 온천2동",3447,3224,8449,6355,5567,5870,7162
"대전광역시 유성구 노은1동",2243,3019,2866,3174,4329,3238,3221
"대전광역시 유성구 노은2동",2392,3440,3133,3116,4715,4038,3951
"대전광역시 유성구 노은3동",4933,4575,3788,6205,7402,5258,5489
"대전광역시 유성구 신성동",2914,2937,4137,5183,4239,3496,3094
"대전광역시 유성구 전민동",2548,3169,4330,4382,4302,4464,3814
"대전광역시 유성구 구즉동",2474,3056,4238,4081,4741,4707,4509
"대전광역시 유성구 관평동",3164,4522,3713,4034,5916,4463,3130
"대전광역시 유성구 원신흥동",5384,5146,5177,7740,8687,6740,7082
"대전광역시 대덕구",11035,16387,24396,19904,26882,33452,43516
"대전광역시 대덕구 오정동",635,1000,2281,1539,1934,2756,4451
"대전광역시 대덕구 대화동",305,481,792,837,1078,1351,2283
"대전광역시 대덕구 회덕동",671,995,1445,1241,1763,2341,4137
"대전광역시 대덕구 비래동",940,1655,2292,1583,2568,3171,4262
"대전광역시 대덕구 송촌동",2004,3817,4059,2678,4971,5631,4524
"대전광역시 대덕구 중리동",969,1565,2992,2223,3017,3704,5063
"대전광역시 대덕구 신탄진동",494,877,1497,1089,1513,2163,3387
"대전광역시 대덕구 석봉동",2018,1505,1990,2899,2706,2621,2795
"대전광역시 대덕구 덕암동",767,1238,2101,1656,2101,2642,3309
"대전광역시 대덕구 목상동",449,612,1024,994,1189,1154,1212
